Accession numbers         Start                  End
NC_008322.1         1174554         1207842
NC_008577.1         2413003         2419764
NC_008577.1         2829650         2838917
NC_009445.1         6443614         6448738
NC_002655.2         1250319         1295622
NC_005139.1         270165         289159
NC_003997.3         1889325         2297931
NC_007005.1         835946         839075
NC_007005.1         1604658         1724374
NC_007432.1         241169         250024
NC_007432.1         1581088         1791591
NC_007432.1         1939766         1957502
NC_004116.1         231616         240637
NC_004116.1         925179         991546
NC_004116.1         1202002         1330364
NC_004116.1         1626950         1802406
NC_004116.1         2068955         2095278
NC_008463.1         1281419         1315610
NC_008463.1         2680031         2913770
NC_008463.1         5251438         5359437
NC_003198.1         4296146         4535480
NC_005945.1         1889392         2297982
NC_007530.2         1889448         2298055
NC_007146.2         92194         148666
NC_007384.1         2665228         2839590
NC_009438.1         1850457         1852360
NC_006905.1         4645048         4659937
NC_009052.1         2685372         2704055
NC_009801.1         1530882         1862356
NC_009801.1         2906455         2927636
NC_007761.1         2103363         2182450
NC_009708.1         3301384         3325056
NC_009708.1         4157211         4221900
NC_008253.1         1937826         1964653
NC_008023.1         89688         262610
NC_008258.1         3094300         3161033
NC_010084.1         705340         709552
NC_010084.1         2443267         2560588
NC_010501.1         3605072         3715930
NC_008600.1         3538537         3550504
NC_009900.1         636728         748877
NC_010380.1         1280821         1327266
NC_010380.1         1575028         1615441
NC_009485.1         434291         482263
NC_009485.1         1490463         1665320
NC_009485.1         6997252         7040060
NC_009485.1         7660817         7687256
NC_009485.1         8090403         8210583
NC_010582.1         967362         1013870
NC_009074.1         3414467         3432461
NC_007613.1         4273853         4322948
NC_010102.1         4577547         4580070
NC_002695.1         2669551         2694744
NC_007297.1         89901         255023
NC_008543.1         136715         185679
NC_007958.1         2515521         2563396
NC_008750.1         1128833         1160779
NC_008750.1         1225354         1440333
NC_009256.1         2517169         2521574
NC_009256.1         3062483         3066695
NC_004431.1         2184669         2211497
NC_004631.1         956392         978975
NC_004631.1         4280796         4518289
NC_004368.1         232852         241426
NC_004578.1         325303         517735
