Accession numbers      Start        End         Length       Prediction method
NC_002947.3         167163         182501         15338         MTGIpick
NC_002947.3         170945         182501         11556         MTGIpick
NC_002947.3         170945         181898         10953         MTGIpick
NC_002947.3         170945         216501         45556         MTGIpick
NC_002947.3         194436         219501         25065         MTGIpick
NC_002947.3         194436         217501         23065         MTGIpick
NC_002947.3         194436         216501         22065         MTGIpick
NC_002947.3         524511         566076         41565         MTGIpick
NC_002947.3         689002         703501         14499         MTGIpick
NC_002947.3         736002         758501         22499         MTGIpick
NC_002947.3         744906         758164         13258         MTGIpick
NC_002947.3         744907         758150         13243         MTGIpick
NC_002947.3         833002         850750         17748         MTGIpick
NC_002947.3         921002         940501         19499         MTGIpick
NC_002947.3         922002         940501         18499         MTGIpick
NC_002947.3         1269553         1281501         11948         MTGIpick
NC_002947.3         1455002         1474331         19329         MTGIpick
NC_002947.3         1969002         2036305         67303         MTGIpick
NC_002947.3         1978002         2017655         39653         MTGIpick
NC_002947.3         1978002         2021501         43499         MTGIpick
NC_002947.3         1978002         2036305         58303         MTGIpick
NC_002947.3         1978002         2044335         66333         MTGIpick
NC_002947.3         2030216         2044335         14119         MTGIpick
NC_002947.3         2099002         2126501         27499         MTGIpick
NC_002947.3         2114423         2126501         12078         MTGIpick
NC_002947.3         2162735         2226922         64187         MTGIpick
NC_002947.3         2182100         2226922         44822         MTGIpick
NC_002947.3         2292002         2308501         16499         MTGIpick
NC_002947.3         2292002         2309501         17499         MTGIpick
NC_002947.3         2293002         2307501         14499         MTGIpick
NC_002947.3         2527002         2553911         26909         MTGIpick
NC_002947.3         2586116         2632961         46845         MTGIpick
NC_002947.3         2586146         2632961         46815         MTGIpick
NC_002947.3         2806002         2857856         51854         MTGIpick
NC_002947.3         2807002         2857856         50854         MTGIpick
NC_002947.3         2816916         2857856         40940         MTGIpick
NC_002947.3         2831073         2848638         17565         MTGIpick
NC_002947.3         2831073         2857856         26783         MTGIpick
NC_002947.3         2984980         3000966         15986         MTGIpick
NC_002947.3         3366690         3384501         17811         MTGIpick
NC_002947.3         3366690         3383614         16924         MTGIpick
NC_002947.3         3366690         3383616         16926         MTGIpick
NC_002947.3         3366690         3383615         16925         MTGIpick
NC_002947.3         3366690         3385501         18811         MTGIpick
NC_002947.3         3400002         3420501         20499         MTGIpick
NC_002947.3         3401002         3420501         19499         MTGIpick
NC_002947.3         3410064         3420501         10437         MTGIpick
NC_002947.3         3410064         3420369         10305         MTGIpick
NC_002947.3         3500060         3521879         21819         MTGIpick
NC_002947.3         4099002         4113795         14793         MTGIpick
NC_002947.3         4103442         4113795         10353         MTGIpick
NC_002947.3         4174943         4187723         12780         MTGIpick
NC_002947.3         4174943         4232746         57803         MTGIpick
NC_002947.3         4188434         4232746         44312         MTGIpick
NC_002947.3         4293002         4321501         28499         MTGIpick
NC_002947.3         4294002         4321126         27124         MTGIpick
NC_002947.3         4295002         4321126         26124         MTGIpick
NC_002947.3         4295002         4321501         26499         MTGIpick
NC_002947.3         4295002         4321002         26000         MTGIpick
NC_002947.3         4295002         4321045         26043         MTGIpick
NC_002947.3         4297002         4321002         24000         MTGIpick
NC_002947.3         4297002         4321045         24043         MTGIpick
NC_002947.3         4298002         4321045         23043         MTGIpick
NC_002947.3         4363002         4427579         64577         MTGIpick
NC_002947.3         4470002         4501164         31162         MTGIpick
NC_002947.3         4471002         4501240         30238         MTGIpick
NC_002947.3         4471002         4501164         30162         MTGIpick
NC_002947.3         4520075         4535475         15400         MTGIpick
NC_002947.3         4604002         4631189         27187         MTGIpick
NC_002947.3         4656098         4671486         15388         MTGIpick
NC_002947.3         4719002         4735501         16499         MTGIpick
NC_002947.3         4720002         4733501         13499         MTGIpick
NC_002947.3         4720002         4734501         14499         MTGIpick
NC_002947.3         4812132         4823501         11369         MTGIpick
NC_002947.3         4812132         4825501         13369         MTGIpick
NC_002947.3         4812132         4826501         14369         MTGIpick
NC_002947.3         4877125         4890501         13376         MTGIpick
NC_002947.3         4922002         4944790         22788         MTGIpick
NC_002947.3         4928002         4944790         16788         MTGIpick
NC_002947.3         4929002         4944790         15788         MTGIpick
NC_002947.3         5001728         5079898         78170         MTGIpick
NC_002947.3         5307535         5319747         12212         MTGIpick
NC_002947.3         5349002         5371501         22499         MTGIpick
NC_002947.3         5383002         5401156         18154         MTGIpick
NC_002947.3         5384002         5401501         17499         MTGIpick
NC_002947.3         5391960         5401501         9541         MTGIpick
NC_002947.3         5391960         5401156         9196         MTGIpick
NC_002947.3         6124766         6150797         26031         MTGIpick
NC_003047.1         259002         273501         14499         MTGIpick
NC_003047.1         418002         433501         15499         MTGIpick
NC_003047.1         532002         557501         25499         MTGIpick
NC_003047.1         534002         553097         19095         MTGIpick
NC_003047.1         534002         557501         23499         MTGIpick
NC_003047.1         535002         557501         22499         MTGIpick
NC_003047.1         536002         557501         21499         MTGIpick
NC_003047.1         652002         677065         25063         MTGIpick
NC_003047.1         653002         677065         24063         MTGIpick
NC_003047.1         653002         677077         24075         MTGIpick
NC_003047.1         654002         677077         23075         MTGIpick
NC_003047.1         720002         747501         27499         MTGIpick
NC_003047.1         721002         742277         21275         MTGIpick
NC_003047.1         721002         745501         24499         MTGIpick
NC_003047.1         721002         747501         26499         MTGIpick
NC_003047.1         984002         997501         13499         MTGIpick
NC_003047.1         1068002         1104519         36517         MTGIpick
NC_003047.1         1069002         1090969         21967         MTGIpick
NC_003047.1         1069002         1093501         24499         MTGIpick
NC_003047.1         1069002         1104519         35517         MTGIpick
NC_003047.1         1070002         1090969         20967         MTGIpick
NC_003047.1         1136002         1163490         27488         MTGIpick
NC_003047.1         1140002         1163490         23488         MTGIpick
NC_003047.1         1141002         1163486         22484         MTGIpick
NC_003047.1         1141002         1163490         22488         MTGIpick
NC_003047.1         1142002         1163486         21484         MTGIpick
NC_003047.1         1182002         1203501         21499         MTGIpick
NC_003047.1         1183002         1203501         20499         MTGIpick
NC_003047.1         1187002         1203501         16499         MTGIpick
NC_003047.1         1187002         1207501         20499         MTGIpick
NC_003047.1         1187002         1208501         21499         MTGIpick
NC_003047.1         1354002         1398233         44231         MTGIpick
NC_003047.1         1356002         1398233         42231         MTGIpick
NC_003047.1         1382002         1399501         17499         MTGIpick
NC_003047.1         1454002         1486501         32499         MTGIpick
NC_003047.1         1455002         1486501         31499         MTGIpick
NC_003047.1         1503002         1527501         24499         MTGIpick
NC_003047.1         1504002         1526501         22499         MTGIpick
NC_003047.1         1606002         1623458         17456         MTGIpick
NC_003047.1         1723826         1740501         16675         MTGIpick
NC_003047.1         1723826         1749501         25675         MTGIpick
NC_003047.1         1723826         1750501         26675         MTGIpick
NC_003047.1         1774199         1781501         7302         MTGIpick
NC_003047.1         1839002         1856501         17499         MTGIpick
NC_003047.1         1965235         1973501         8266         MTGIpick
NC_003047.1         1965235         1976501         11266         MTGIpick
NC_003047.1         2018002         2032501         14499         MTGIpick
NC_003047.1         2019002         2032501         13499         MTGIpick
NC_003047.1         2101002         2114501         13499         MTGIpick
NC_003047.1         2151002         2203501         52499         MTGIpick
NC_003047.1         2161236         2202501         41265         MTGIpick
NC_003047.1         2161243         2175030         13787         MTGIpick
NC_003047.1         2167002         2203501         36499         MTGIpick
NC_003047.1         2183437         2202501         19064         MTGIpick
NC_003047.1         2403002         2416501         13499         MTGIpick
NC_003047.1         2423002         2452501         29499         MTGIpick
NC_003047.1         2424002         2452501         28499         MTGIpick
NC_003047.1         2429002         2442501         13499         MTGIpick
NC_003047.1         2429002         2449501         20499         MTGIpick
NC_003047.1         2429002         2448501         19499         MTGIpick
NC_003047.1         2429002         2451501         22499         MTGIpick
NC_003047.1         2476002         2494501         18499         MTGIpick
NC_003047.1         2477002         2495501         18499         MTGIpick
NC_003047.1         2477002         2494501         17499         MTGIpick
NC_003047.1         2478002         2494501         16499         MTGIpick
NC_003047.1         2478002         2491540         13538         MTGIpick
NC_003047.1         2559002         2582501         23499         MTGIpick
NC_003047.1         2569073         2578501         9428         MTGIpick
NC_003047.1         2697002         2723501         26499         MTGIpick
NC_003047.1         2698002         2735501         37499         MTGIpick
NC_003047.1         2722002         2735501         13499         MTGIpick
NC_003047.1         2750002         2767501         17499         MTGIpick
NC_003047.1         2773002         2811671         38669         MTGIpick
NC_003047.1         2774002         2800501         26499         MTGIpick
NC_003047.1         2775002         2790501         15499         MTGIpick
NC_003047.1         2775002         2800501         25499         MTGIpick
NC_003047.1         3055002         3073501         18499         MTGIpick
NC_003047.1         3055002         3074501         19499         MTGIpick
