Start             End    
302092         360757
605515         609992
1085068         1092563
1624920         1666524
2460793         2465914
2743495         2759190
2858736         2900586
3053654         3060017
3132530         3139414
3883613         3900553
4322993         4346383
4409511         4543148
4683605         4716538
