Accession numbers      Start        End         Length       Prediction method
NC_003047.1         538087         556690         18603         IslandPath-DIMOB
NC_003047.1         656466         684321         27855         IslandPath-DIMOB
NC_003047.1         1148609         1164316         15707         IslandPath-DIMOB
NC_003047.1         2168568         2187110         18542         IslandPath-DIMOB
NC_003047.1         3328092         3460433         132341         IslandPath-DIMOB
NC_004603.1         375199         389224         14025         IslandPath-DIMOB
NC_004603.1         667360         675883         8523         IslandPath-DIMOB
NC_004603.1         1117611         1145718         28107         IslandPath-DIMOB
NC_004603.1         1664891         1679799         14908         IslandPath-DIMOB
NC_004603.1         1900885         1923536         22651         IslandPath-DIMOB
NC_004603.1         2240007         2258690         18683         IslandPath-DIMOB
NC_005773.3         108096         136368         28272         IslandPath-DIMOB
NC_005773.3         208100         222163         14063         IslandPath-DIMOB
NC_005773.3         699939         740140         40201         IslandPath-DIMOB
NC_005773.3         868016         931868         63852         IslandPath-DIMOB
NC_005773.3         1686298         1699686         13388         IslandPath-DIMOB
NC_005773.3         1848101         1866061         17960         IslandPath-DIMOB
NC_005773.3         2169297         2205775         36478         IslandPath-DIMOB
NC_005773.3         2645116         2655041         9925         IslandPath-DIMOB
NC_005773.3         2767503         2776804         9301         IslandPath-DIMOB
NC_005773.3         3225970         3242230         16260         IslandPath-DIMOB
NC_005773.3         3855582         3872186         16604         IslandPath-DIMOB
NC_005773.3         4031553         4042639         11086         IslandPath-DIMOB
NC_005773.3         4284455         4300941         16486         IslandPath-DIMOB
NC_005773.3         4545916         4557963         12047         IslandPath-DIMOB
NC_005773.3         4801653         4822978         21325         IslandPath-DIMOB
NC_005773.3         4899816         4925431         25615         IslandPath-DIMOB
NC_005773.3         5169701         5192009         22308         IslandPath-DIMOB
NC_005773.3         5623649         5633429         9780         IslandPath-DIMOB
NC_005773.3         5641076         5663226         22150         IslandPath-DIMOB
NC_007434.1         114864         125525         10661         IslandPath-DIMOB
NC_007434.1         323823         330003         6180         IslandPath-DIMOB
