GI type                     Start                End            Length
islandpick_36_1         465200         484005         18806
islandpick_36_2         653795         673578         19784
islandpick_36_3         693349         702328         8980
negative_36_1         16220         28769         12550
negative_36_2         34344         46086         11743
negative_36_3         64555         72773         8219
negative_36_4         74031         90407         16377
negative_36_5         153122         167054         13933
negative_36_6         182453         198463         16011
negative_36_7         791541         799654         8114
negative_36_8         805649         814699         9051
negative_36_9         824337         832531         8195
negative_36_10         937450         945983         8534
negative_36_11         969052         979185         10134
negative_36_12         1050652         1067048         16397
negative_36_13         1119045         1131115         12071
negative_36_14         1455031         1463409         8379
negative_36_15         1672420         1682929         10510
negative_36_16         1711923         1722092         10170
negative_36_17         1770523         1781274         10752
negative_36_18         2021417         2030551         9135
