Accession numbers      Start        End         Length       Prediction method
NC_002947.3         170001         180000         9999         INDeGenIUS
NC_002947.3         200001         220000         19999         INDeGenIUS
NC_002947.3         2000001         2010000         9999         INDeGenIUS
NC_002947.3         2180001         2200000         19999         INDeGenIUS
NC_002947.3         2210001         2230000         19999         INDeGenIUS
NC_002947.3         4180001         4190000         9999         INDeGenIUS
NC_002947.3         4220001         4230000         9999         INDeGenIUS
NC_002947.3         4620001         4630000         9999         INDeGenIUS
NC_002947.3         5000001         5010000         9999         INDeGenIUS
NC_002947.3         5040001         5050000         9999         INDeGenIUS
NC_002947.3         5060001         5070000         9999         INDeGenIUS
NC_002947.3         6160001         6170000         9999         INDeGenIUS
NC_003047.1         80001         90000         9999         INDeGenIUS
NC_003047.1         540001         550000         9999         INDeGenIUS
NC_003047.1         2800001         2810000         9999         INDeGenIUS
NC_003047.1         3360001         3390000         29999         INDeGenIUS
NC_003047.1         3400001         3410000         9999         INDeGenIUS
NC_003047.1         3420001         3440000         19999         INDeGenIUS
NC_004603.1         240001         250000         9999         INDeGenIUS
NC_004603.1         1120001         1130000         9999         INDeGenIUS
NC_004603.1         1730001         1740000         9999         INDeGenIUS
NC_004603.1         1920001         1940000         19999         INDeGenIUS
NC_004603.1         2240001         2250000         9999         INDeGenIUS
NC_004603.1         3090001         3100000         9999         INDeGenIUS
NC_004603.1         3110001         3120000         9999         INDeGenIUS
NC_004603.1         3130001         3140000         9999         INDeGenIUS
NC_005773.3         720001         730000         9999         INDeGenIUS
NC_005773.3         900001         910000         9999         INDeGenIUS
NC_005773.3         1150001         1160000         9999         INDeGenIUS
NC_005773.3         1690001         1700000         9999         INDeGenIUS
NC_005773.3         2190001         2200000         9999         INDeGenIUS
NC_005773.3         3230001         3240000         9999         INDeGenIUS
NC_005773.3         4290001         4300000         9999         INDeGenIUS
NC_005773.3         4550001         4560000         9999         INDeGenIUS
NC_005773.3         4810001         4820000         9999         INDeGenIUS
NC_005773.3         5170001         5190000         19999         INDeGenIUS
NC_005773.3         5640001         5650000         9999         INDeGenIUS
NC_005773.3         5740001         5750000         9999         INDeGenIUS
NC_007434.1         1720001         1760000         39999         INDeGenIUS
NC_007434.1         1790001         1800000         9999         INDeGenIUS
NC_007434.1         1840001         1850000         9999         INDeGenIUS
NC_007434.1         1930001         1940000         9999         INDeGenIUS
NC_007434.1         3880001         3890000         9999         INDeGenIUS
NC_007434.1         3980001         3990000         9999         INDeGenIUS
NC_007434.1         4000001         4010000         9999         INDeGenIUS
NC_007435.1         210001         250000         39999         INDeGenIUS
NC_007435.1         630001         640000         9999         INDeGenIUS
NC_007435.1         1480001         1490000         9999         INDeGenIUS
NC_007435.1         1990001         2000000         9999         INDeGenIUS
NC_007435.1         2710001         2720000         9999         INDeGenIUS
NC_007761.1         60001         70000         9999         INDeGenIUS
NC_007761.1         790001         810000         19999         INDeGenIUS
NC_007761.1         1120001         1130000         9999         INDeGenIUS
NC_007761.1         2060001         2090000         29999         INDeGenIUS
NC_007761.1         2740001         2750000         9999         INDeGenIUS
NC_007761.1         3050001         3060000         9999         INDeGenIUS
NC_007761.1         3570001         3580000         9999         INDeGenIUS
NC_007778.1         910001         920000         9999         INDeGenIUS
NC_007778.1         1060001         1070000         9999         INDeGenIUS
NC_007778.1         1850001         1870000         19999         INDeGenIUS
NC_007778.1         2580001         2590000         9999         INDeGenIUS
NC_007778.1         3470001         3490000         19999         INDeGenIUS
NC_007778.1         3790001         3810000         19999         INDeGenIUS
NC_007778.1         3980001         3990000         9999         INDeGenIUS
NC_007778.1         4820001         4830000         9999         INDeGenIUS
NC_007778.1         5080001         5090000         9999         INDeGenIUS
NC_007958.1         10001         20000         9999         INDeGenIUS
NC_007958.1         400001         410000         9999         INDeGenIUS
NC_007958.1         830001         850000         19999         INDeGenIUS
NC_007958.1         1170001         1180000         9999         INDeGenIUS
NC_007958.1         2370001         2400000         29999         INDeGenIUS
NC_007958.1         2430001         2440000         9999         INDeGenIUS
NC_007958.1         4080001         4090000         9999         INDeGenIUS
NC_007958.1         4380001         4390000         9999         INDeGenIUS
NC_008253.1         310001         320000         9999         INDeGenIUS
NC_008253.1         340001         350000         9999         INDeGenIUS
NC_008253.1         360001         370000         9999         INDeGenIUS
NC_008253.1         1950001         1970000         19999         INDeGenIUS
NC_008253.1         2140001         2150000         9999         INDeGenIUS
NC_008253.1         3190001         3200000         9999         INDeGenIUS
NC_008253.1         3670001         3680000         9999         INDeGenIUS
NC_008577.1         190001         200000         9999         INDeGenIUS
NC_008577.1         230001         240000         9999         INDeGenIUS
NC_008577.1         430001         440000         9999         INDeGenIUS
NC_008577.1         1470001         1500000         29999         INDeGenIUS
NC_008577.1         1590001         1600000         9999         INDeGenIUS
NC_008577.1         2410001         2420000         9999         INDeGenIUS
NC_008577.1         2430001         2440000         9999         INDeGenIUS
NC_008577.1         4540001         4550000         9999         INDeGenIUS
NC_008577.1         4620001         4640000         19999         INDeGenIUS
NC_009256.1         20001         30000         9999         INDeGenIUS
NC_009256.1         180001         190000         9999         INDeGenIUS
NC_009256.1         2520001         2530000         9999         INDeGenIUS
NC_009256.1         2950001         2980000         29999         INDeGenIUS
NC_009256.1         3550001         3570000         19999         INDeGenIUS
NC_009256.1         3600001         3610000         9999         INDeGenIUS
NC_009428.1         730001         740000         9999         INDeGenIUS
NC_009428.1         840001         850000         9999         INDeGenIUS
NC_009428.1         1450001         1460000         9999         INDeGenIUS
NC_009428.1         1840001         1850000         9999         INDeGenIUS
NC_009428.1         1860001         1870000         9999         INDeGenIUS
NC_009428.1         2570001         2580000         9999         INDeGenIUS
NC_009428.1         2860001         2870000         9999         INDeGenIUS
NC_009656.1         80001         90000         9999         INDeGenIUS
NC_009656.1         100001         110000         9999         INDeGenIUS
NC_009656.1         120001         130000         9999         INDeGenIUS
NC_009656.1         140001         150000         9999         INDeGenIUS
NC_009656.1         2000001         2030000         29999         INDeGenIUS
NC_009656.1         2520001         2530000         9999         INDeGenIUS
NC_009656.1         2810001         2830000         19999         INDeGenIUS
NC_009656.1         3140001         3150000         9999         INDeGenIUS
NC_009656.1         3160001         3180000         19999         INDeGenIUS
NC_009656.1         4560001         4570000         9999         INDeGenIUS
NC_009656.1         6260001         6270000         9999         INDeGenIUS
NC_009656.1         6350001         6360000         9999         INDeGenIUS
NC_009665.1         230001         250000         19999         INDeGenIUS
NC_009665.1         660001         670000         9999         INDeGenIUS
NC_009665.1         680001         690000         9999         INDeGenIUS
NC_009665.1         700001         710000         9999         INDeGenIUS
NC_009665.1         1960001         1970000         9999         INDeGenIUS
NC_009665.1         2360001         2370000         9999         INDeGenIUS
NC_009665.1         2610001         2620000         9999         INDeGenIUS
NC_009665.1         3470001         3480000         9999         INDeGenIUS
NC_009665.1         3860001         3870000         9999         INDeGenIUS
NC_009665.1         3880001         3890000         9999         INDeGenIUS
NC_009665.1         4730001         4750000         19999         INDeGenIUS
NC_010084.1         260001         270000         9999         INDeGenIUS
NC_010084.1         550001         560000         9999         INDeGenIUS
NC_010084.1         700001         710000         9999         INDeGenIUS
NC_010084.1         2490001         2500000         9999         INDeGenIUS
NC_010084.1         2510001         2520000         9999         INDeGenIUS
