Accession numbers         Start                  End
NC_008322.1         806363         867622
NC_000907.1         1495049         1513073
NC_000907.1         1558774         1597183
NC_010322.1         1336655         1378929
NC_010322.1         1929732         1996699
NC_010322.1         3820676         3862321
NC_010322.1         3864211         3890336
NC_010322.1         5298906         5317481
NC_002655.2         300053         323525
NC_002655.2         903669         930014
NC_002655.2         1249453         1295563
NC_002655.2         1330720         1400169
NC_002655.2         1623741         1675806
NC_002655.2         1678680         1693907
NC_002655.2         1693969         1748314
NC_002655.2         1748352         1756006
NC_002655.2         1835960         1933360
NC_002655.2         2116354         2148177
NC_002655.2         2142480         2177204
NC_002655.2         2272753         2342415
NC_002655.2         2668170         2689290
NC_002655.2         2743224         2797853
NC_002655.2         2959005         3017546
NC_002655.2         3546082         3567479
NC_002655.2         4649783         4670324
NC_002655.2         300053         323525
NC_002655.2         903669         930014
NC_002655.2         1249453         1295563
NC_002655.2         1330720         1400169
NC_002655.2         1623741         1675806
NC_002655.2         1678680         1693907
NC_002655.2         1693969         1748314
NC_002655.2         1748352         1756006
NC_002655.2         1835960         1933360
NC_002655.2         2116354         2148177
NC_002655.2         2142480         2177204
NC_002655.2         2272753         2342415
NC_002655.2         2668170         2692188
NC_002655.2         2743224         2797853
NC_002655.2         2959005         3018696
NC_002655.2         3544754         3565707
NC_002655.2         4649783         4670324
NC_002758.2         865041         882820
NC_002758.2         917450         961930
NC_002758.2         2082980         2129322
NC_002758.2         2124922         2152937
NC_002758.2         854971         890156
NC_002758.2         910703         961979
NC_002758.2         1948025         1963065
NC_002758.2         2069951         2129411
NC_002758.2         2124922         2152937
NC_003485.1         277254         332714
NC_003485.1         578053         619102
NC_003485.1         1038487         1095615
NC_003485.1         1200226         1241416
NC_003485.1         1443373         1493373
NC_003485.1         277254         332714
NC_003485.1         578053         619102
NC_003485.1         1038487         1095615
NC_003485.1         1200226         1241416
NC_003485.1         1443373         1493373
NC_004088.1         231438         243782
NC_004088.1         2413020         2456467
NC_004088.1         2691227         2700576
NC_004088.1         3236486         3247743
NC_004088.1         3381641         3415033
NC_004606.1         441336         498166
NC_004606.1         545487         585149
NC_004606.1         624975         669296
NC_004606.1         724653         761533
NC_004606.1         877707         924828
NC_004606.1         1098746         1161348
NC_004606.1         441336         498166
NC_004606.1         545487         585149
NC_004606.1         624975         669296
NC_004606.1         724653         761533
NC_004606.1         877707         924828
NC_004606.1         1098746         1161348
NC_005139.1         530736         552993
NC_003923.1         836064         853794
NC_003923.1         1522193         1584849
NC_003923.1         2036088         2091958
NC_003923.1         836064         853794
NC_003923.1         1522193         1584849
NC_003923.1         2036088         2091958
NC_003997.3         445947         484418
NC_003997.3         1181430         1196378
NC_003997.3         3451327         3524718
NC_003997.3         3743581         3795996
NC_003997.3         4845035         4858240
NC_004337.1         235830         252705
NC_004337.1         306583         340775
NC_004337.1         696659         747734
NC_004337.1         898668         918668
NC_004337.1         1081687         1103027
NC_004337.1         1174910         1189400
NC_004337.1         1392892         1407895
NC_004337.1         1409936         1426965
NC_004337.1         1915150         1944799
NC_004337.1         2045530         2085767
NC_004337.1         2229979         2241353
NC_004337.1         2685873         2695524
NC_004337.1         2860556         2867563
NC_004337.1         4382585         4410173
NC_004337.1         236198         251822
NC_004337.1         294448         334061
NC_004337.1         696659         756306
NC_004337.1         888634         928747
NC_004337.1         1387236         1407895
NC_004337.1         1409936         1425022
NC_004337.1         1902971         1947922
NC_004337.1         2032476         2069975
NC_004337.1         2220679         2228217
NC_004337.1         2229978         2240202
NC_004337.1         2684564         2696908
NC_004337.1         4115337         4123496
NC_004741.1         234959         256034
NC_004741.1         309135         339909
NC_004741.1         692891         743892
NC_004741.1         893482         915474
NC_004741.1         1084465         1105919
NC_004741.1         1177790         1192292
NC_004741.1         1612576         1617991
NC_004741.1         1619869         1626226
NC_004741.1         1872283         1931999
NC_004741.1         2009447         2054672
NC_004741.1         2201408         2208976
NC_004741.1         2211660         2219625
NC_004741.1         2674398         2688968
NC_004741.1         3649722         3657881
NC_004741.1         234959         256034
NC_004741.1         309135         339909
NC_004741.1         692891         743892
NC_004741.1         893482         915474
NC_004741.1         1084465         1105919
NC_004741.1         1177790         1192292
NC_004741.1         1612576         1617991
NC_004741.1         1619869         1626226
NC_004741.1         1872283         1931999
NC_004741.1         2003138         2057970
NC_004741.1         2201408         2208976
NC_004741.1         2211660         2220775
NC_004741.1         2674398         2688968
NC_004741.1         3649722         3657881
NC_004070.1         742914         793050
NC_004070.1         974608         1026068
NC_004070.1         1130998         1172231
NC_004070.1         1227589         1283428
NC_004070.1         1311736         1354212
NC_004070.1         1398706         1455520
NC_004070.1         742914         793050
NC_004070.1         974608         1026068
NC_004070.1         1130998         1172231
NC_004070.1         1227589         1283428
NC_004070.1         1311736         1354212
NC_004070.1         1398706         1455520
NC_004431.1         243401         257682
NC_004431.1         908948         945468
NC_004431.1         920737         942273
NC_004431.1         1327914         1375035
NC_004431.1         1377873         1389092
NC_004431.1         1394721         1452255
NC_004431.1         3007212         3065315
NC_004431.1         4955798         4971387
NC_004431.1         243401         257682
NC_004431.1         908948         945468
NC_004431.1         920737         942273
NC_004431.1         1327914         1375035
NC_004431.1         1377873         1389092
NC_004431.1         1394721         1452255
NC_004431.1         3007212         3065315
NC_004431.1         4955798         4971387
NC_007005.1         3339398         3392451
NC_007005.1         5433351         5482490
NC_007005.1         5500196         5521130
NC_007432.1         544482         586079
NC_007432.1         663056         718916
NC_004116.1         554829         600594
NC_004116.1         1816883         1876441
NC_004116.1         1960129         1978401
NC_004116.1         554829         600594
NC_004116.1         1539406         1547619
NC_004116.1         1816883         1876441
NC_004116.1         1960129         1978401
NC_008463.1         685467         714042
NC_008463.1         4344257         4363246
NC_008463.1         683802         714042
NC_008463.1         4344257         4363246
NC_002516.2         672777         703058
NC_002516.2         780995         796776
NC_002516.2         670980         704082
NC_002516.2         780995         796776
NC_004631.1         1408218         1441766
NC_004631.1         1928058         1972330
NC_004631.1         2036445         2065436
NC_004631.1         2734604         2759926
NC_004631.1         3489900         3540712
NC_004631.1         3512586         3534635
NC_004631.1         4446847         4479602
NC_004631.1         4446021         4493121
NC_004631.1         4666559         4677962
NC_004631.1         1408218         1441766
NC_004631.1         1928058         1972330
NC_004631.1         2036445         2065436
NC_004631.1         2734604         2759926
NC_004631.1         3493740         3550005
NC_004631.1         4446847         4479602
NC_004631.1         4659342         4688885
NC_004347.1         655830         720989
NC_004347.1         2788307         2829187
NC_004347.1         3080723         3117727
NC_010612.1         1764630         1771903
NC_010612.1         4825093         4848031
NC_004459.2         79472         95564
NC_004459.2         342531         387517
NC_003198.1         915628         944619
NC_003198.1         1008698         1053060
NC_003198.1         1538899         1572919
NC_003198.1         1889471         1921297
NC_003198.1         1909350         1940164
NC_003198.1         3504242         3555052
NC_003198.1         3526926         3548975
NC_003198.1         4463254         4496010
NC_003198.1         4462428         4509535
NC_003198.1         4683670         4695074
NC_003198.1         1008698         1053060
NC_003198.1         1538899         1572919
NC_003198.1         1889471         1921297
NC_003198.1         1919393         1945190
NC_003198.1         3504242         3555052
NC_003198.1         4463254         4496010
NC_003198.1         4683670         4695074
NC_003909.8         403390         447381
NC_003909.8         1333290         1353520
NC_003909.8         1541412         1567138
NC_004578.1         628136         656971
NC_004578.1         2253004         2271122
NC_004578.1         3824685         3865355
NC_004578.1         4443121         4458574
NC_004578.1         4505488         4530373
NC_004578.1         4528890         4563495
NC_004603.1         1656854         1667480
NC_004722.1         1186805         1201386
NC_004722.1         1803335         1866036
NC_004722.1         2520844         2580415
NC_004722.1         3655937         3668825
NC_004722.1         5089874         5096357
NC_008595.1         746437         795760
NC_008595.1         1178359         1197714
NC_008595.1         1429012         1464399
NC_008595.1         2934861         2949403
NC_005945.1         442092         487539
NC_005945.1         1181444         1196539
NC_005945.1         3453387         3518138
NC_005945.1         3744080         3795989
NC_005945.1         4846372         4859577
NC_007530.2         445947         484418
NC_007530.2         1181552         1196500
NC_007530.2         3468876         3514615
NC_007530.2         3743708         3796123
NC_007530.2         4845161         4858366
NC_005773.3         767035         788396
NC_005773.3         1540644         1579391
NC_005773.3         2179696         2186659
NC_005773.3         2180924         2208737
NC_005773.3         2495791         2516079
NC_005773.3         2759433         2791641
NC_005773.3         3225924         3233995
NC_005773.3         5619217         5644904
NC_003047.1         291267         300409
NC_007651.1         86003         110049
NC_007651.1         1024601         1054431
NC_007651.1         2162421         2178130
NC_007651.1         2639553         2648060
NC_007651.1         3112267         3145310
NC_007651.1         3717604         3740209
NC_006350.1         145198         185982
NC_006350.1         1321180         1337464
NC_006350.1         3964326         3979524
NC_006155.1         1525116         1538020
NC_006155.1         2096944         2128189
NC_006155.1         2096901         2219536
NC_006155.1         2230727         2240075
NC_006155.1         3672602         3737778
NC_007146.2         1408248         1468449
NC_007146.2         1576217         1610982
NC_007146.2         1707312         1728142
NC_006086.1         32114         97930
NC_006086.1         984625         1028213
NC_006086.1         1117850         1168818
NC_006086.1         1187938         1232249
NC_006086.1         1329915         1355794
NC_006086.1         1543544         1568348
NC_006086.1         1807318         1839251
NC_006086.1         32114         97930
NC_006086.1         984625         1028213
NC_006086.1         1117850         1168818
NC_006086.1         1187938         1235756
NC_006086.1         1329915         1355794
NC_006086.1         1538992         1568348
NC_006086.1         1807318         1839251
NC_006511.1         1918440         1949729
NC_006511.1         2500457         2527582
NC_006511.1         2658327         2684245
NC_006511.1         2656859         2729012
NC_006511.1         1918440         1949729
NC_006511.1         2500457         2527582
NC_006511.1         2658327         2684245
NC_007606.1         8230         21209
NC_007606.1         250818         256396
NC_007606.1         407525         423506
NC_007606.1         545011         561268
NC_007606.1         669113         689609
NC_007606.1         710477         723977
NC_007606.1         999324         1004660
NC_007606.1         1008318         1013573
NC_007606.1         1107028         1119227
NC_007606.1         1236040         1246326
NC_007606.1         1274438         1290891
NC_007606.1         1316535         1337817
NC_007606.1         1742738         1764914
NC_007606.1         1807900         1823839
NC_007606.1         1918771         1924722
NC_007606.1         2208003         2230787
NC_007606.1         2554379         2562916
NC_007606.1         2567511         2575233
NC_007606.1         2649524         2658791
NC_007606.1         250818         256396
NC_007606.1         390370         397047
NC_007606.1         415932         423506
NC_007606.1         545011         570488
NC_007606.1         669113         692658
NC_007606.1         696789         728952
NC_007606.1         976778         1012804
NC_007606.1         1101399         1134148
NC_007606.1         1236040         1246326
NC_007606.1         1266968         1299021
NC_007606.1         1300103         1350943
NC_007606.1         1339936         1361473
