Accession numbers       Start                  End
NC_003198.1                 302172                 361067
NC_003198.1                 605515                 609992
NC_003198.1                 964573                 965531
NC_003198.1                 1008747                 1051266
NC_003198.1                 1085156                 1092735
NC_003198.1                 1538899                 1572919
NC_003198.1                 1625084                 1664823
NC_003198.1                 1776200                 1791815
NC_003198.1                 1887450                 1933558
NC_003198.1                 2460793                 2465914
NC_003198.1                 2597945                 2615052
NC_003198.1                 2743495                 2759190
NC_003198.1                 2759733                 2782364
NC_003198.1                 2859262                 2899034
NC_003198.1                 3053654                 3060017
NC_003198.1                 3132606                 3139414
NC_003198.1                 3515397                 3549055
NC_003198.1                 3883111                 3900458
NC_003198.1                 4321943                 4346614
NC_003198.1                 4409511                 4543072
NC_003198.1                 4683690                 4716539
