Accession numbers        Start                  End
NC_003198.1                 4695455                 4696069
NC_003198.1                 4696220                 4696485
NC_003198.1                 2897238                 2897434
NC_003198.1                 4696080                 4696129
NC_003198.1                 335579                 335602
NC_003198.1                 1506743                 1506764
NC_003198.1                 1923637                 1923657
NC_003198.1                 168275                 168295
NC_003198.1                 1128931                 1128951
NC_003198.1                 279099                 279119
