Accession numbers      Start        End         Length       Prediction method
NC_003047.1         90500         96345         5845         SIGI-HMM
NC_003047.1         540915         548811         7896         SIGI-HMM
NC_003047.1         670768         677770         7002         SIGI-HMM
NC_003047.1         2483254         2492595         9341         SIGI-HMM
NC_003047.1         3357817         3394547         36730         SIGI-HMM
NC_003047.1         3429430         3434392         4962         SIGI-HMM
NC_004603.1         208441         222494         14053         SIGI-HMM
NC_004603.1         233872         246218         12346         SIGI-HMM
NC_004603.1         377275         386164         8889         SIGI-HMM
NC_004603.1         396318         403433         7115         SIGI-HMM
NC_004603.1         479757         484417         4660         SIGI-HMM
NC_004603.1         581376         589493         8117         SIGI-HMM
NC_004603.1         666070         672505         6435         SIGI-HMM
NC_004603.1         1121252         1143500         22248         SIGI-HMM
NC_004603.1         1522119         1526996         4877         SIGI-HMM
NC_004603.1         1627036         1636869         9833         SIGI-HMM
NC_004603.1         1655183         1659492         4309         SIGI-HMM
NC_004603.1         1664891         1669700         4809         SIGI-HMM
NC_004603.1         1900170         1950954         50784         SIGI-HMM
NC_004603.1         2240007         2256166         16159         SIGI-HMM
NC_004603.1         3084846         3099979         15133         SIGI-HMM
NC_004603.1         3192316         3199886         7570         SIGI-HMM
NC_005773.3         111288         116691         5403         SIGI-HMM
NC_005773.3         603345         609138         5793         SIGI-HMM
NC_005773.3         718866         730653         11787         SIGI-HMM
NC_005773.3         879828         884316         4488         SIGI-HMM
NC_005773.3         1047604         1055248         7644         SIGI-HMM
NC_005773.3         1139722         1150226         10504         SIGI-HMM
NC_005773.3         1153466         1161253         7787         SIGI-HMM
NC_005773.3         1343065         1347374         4309         SIGI-HMM
NC_005773.3         1857970         1864999         7029         SIGI-HMM
NC_005773.3         2193799         2201546         7747         SIGI-HMM
NC_005773.3         2499721         2507567         7846         SIGI-HMM
NC_005773.3         3230101         3238853         8752         SIGI-HMM
NC_005773.3         3263636         3268489         4853         SIGI-HMM
NC_005773.3         4289013         4294703         5690         SIGI-HMM
NC_005773.3         4296676         4300941         4265         SIGI-HMM
NC_005773.3         4309547         4314121         4574         SIGI-HMM
NC_005773.3         4549481         4556507         7026         SIGI-HMM
NC_005773.3         4909383         4914782         5399         SIGI-HMM
NC_005773.3         4929004         4943669         14665         SIGI-HMM
NC_005773.3         5158974         5163148         4174         SIGI-HMM
NC_005773.3         5172524         5181888         9364         SIGI-HMM
NC_005773.3         5185788         5197870         12082         SIGI-HMM
NC_005773.3         5319362         5323849         4487         SIGI-HMM
NC_005773.3         5642972         5652302         9330         SIGI-HMM
NC_005773.3         5690353         5694509         4156         SIGI-HMM
NC_005773.3         5741856         5747983         6127         SIGI-HMM
NC_007434.1         118658         125525         6867         SIGI-HMM
NC_007434.1         324302         330003         5701         SIGI-HMM
NC_007434.1         349807         354715         4908         SIGI-HMM
NC_007434.1         794921         805148         10227         SIGI-HMM
NC_007434.1         1009257         1015134         5877         SIGI-HMM
NC_007434.1         1340370         1345103         4733         SIGI-HMM
NC_007434.1         1716339         1733309         16970         SIGI-HMM
NC_007434.1         1734880         1752350         17470         SIGI-HMM
NC_007434.1         1753779         1771697         17918         SIGI-HMM
NC_007434.1         1775623         1780665         5042         SIGI-HMM
NC_007434.1         1784833         1797523         12690         SIGI-HMM
NC_007434.1         1820212         1825972         5760         SIGI-HMM
NC_007434.1         1835863         1857840         21977         SIGI-HMM
NC_007434.1         1914383         1918664         4281         SIGI-HMM
NC_007434.1         1927087         1940737         13650         SIGI-HMM
NC_007434.1         2295521         2300845         5324         SIGI-HMM
NC_007434.1         2408634         2414055         5421         SIGI-HMM
NC_007434.1         2432217         2439995         7778         SIGI-HMM
NC_007434.1         2460495         2467992         7497         SIGI-HMM
NC_007434.1         2762728         2768416         5688         SIGI-HMM
NC_007434.1         2816471         2824223         7752         SIGI-HMM
NC_007434.1         3459431         3470930         11499         SIGI-HMM
NC_007434.1         3595724         3620271         24547         SIGI-HMM
NC_007434.1         3979014         3992990         13976         SIGI-HMM
NC_007434.1         3994203         4000730         6527         SIGI-HMM
NC_007434.1         4002848         4018078         15230         SIGI-HMM
NC_007761.1         246632         253588         6956         SIGI-HMM
NC_007761.1         753388         759914         6526         SIGI-HMM
