Accession numbers      Start        End        
NC_007761.1         3293028         3293007
NC_007761.1         483978         484002
NC_007761.1         483978         484002
NC_007761.1         2207123         2207147
NC_007761.1         833314         833294
NC_007761.1         3078890         3078910
NC_007761.1         4035164         4035144
NC_002947.3         2232650         2232625
NC_002947.3         1020592         1020572
NC_002947.3         1020592         1020572
NC_002947.3         532427         532451
NC_002947.3         6044050         6044030
NC_002947.3         251158         251178
NC_002947.3         2095961         2095941
NC_002947.3         1018273         1018253
NC_002947.3         885327         885347
NC_002947.3         4854960         4854980
NC_004603.1         2792065         2792087
NC_004603.1         286579         286558
NC_004603.1         330611         330632
NC_004603.1         424488         424508
NC_004603.1         797245         797225
NC_004603.1         385237         385256
NC_004603.1         2154379         2154398
NC_004603.1         2620139         2620158
NC_004603.1         3139527         3139546
NC_004603.1         3139527         3139546
NC_005773.3         2824263         2824284
NC_005773.3         1507238         1507263
NC_005773.3         2711         2731
NC_005773.3         3613331         3613351
NC_005773.3         315453         315477
NC_005773.3         5245099         5245119
NC_005773.3         4319687         4319663
NC_005773.3         5042790         5042770
NC_005773.3         3671239         3671219
NC_005773.3         5600314         5600294
NC_007434.1         3221837         3221859
NC_007434.1         1081887         1081867
NC_007434.1         3720420         3720400
NC_007434.1         2330471         2330451
NC_007434.1         2330471         2330451
NC_007434.1         3561417         3561437
NC_007434.1         667693         667713
NC_007435.1         246765         246743
NC_007435.1         1690594         1690614
NC_007435.1         1690594         1690614
NC_007435.1         1249333         1249313
NC_007435.1         1170671         1170651
NC_007435.1         2094710         2094730
NC_007435.1         2915373         2915397
NC_007435.1         1992781         1992804
NC_007435.1         2820049         2820072
NC_007435.1         295773         295750
NC_007778.1         3230514         3230538
NC_007778.1         940343         940321
NC_007778.1         1529246         1529267
NC_007778.1         2287071         2287047
NC_007778.1         2977566         2977546
NC_007778.1         1081891         1081871
NC_007958.1         3944417         3944396
NC_007958.1         725650         725625
NC_007958.1         4445848         4445815
NC_007958.1         38313         38292
NC_007958.1         2035820         2035796
NC_007958.1         1882898         1882918
NC_007958.1         564798         564774
NC_007958.1         1439054         1439074
NC_007958.1         3955794         3955814
NC_007958.1         1805655         1805635
NC_008253.1         304165         303560
NC_008253.1         2068749         2068949
NC_008253.1         304461         304325
NC_008253.1         304710         304550
NC_008253.1         3075751         3075728
NC_008253.1         3075751         3075728
NC_008253.1         194075         194094
NC_008253.1         3335281         3335303
NC_008253.1         1331756         1331781
NC_008253.1         2205         2185
NC_008577.1         4274441         4274466
NC_008577.1         2276519         2276543
NC_008577.1         3906430         3906410
NC_008577.1         3906430         3906410
NC_008577.1         4271914         4271894
NC_008577.1         224654         224678
NC_008577.1         2591569         2591593
NC_008577.1         2591693         2591717
NC_008577.1         2591908         2591932
NC_008577.1         2806092         2806112
NC_009256.1         642529         642552
NC_009256.1         2325021         2324992
NC_009256.1         1466930         1466906
NC_009256.1         2654179         2654159
NC_009256.1         316271         316290
NC_009256.1         660887         660906
NC_009256.1         660887         660906
NC_009256.1         810714         810694
NC_009256.1         808447         808479
NC_009256.1         1369554         1369535
NC_009428.1         1883191         1883169
NC_009428.1         2439950         2439926
NC_009428.1         3128514         3128534
NC_009428.1         3188964         3188983
NC_009428.1         3164090         3164071
NC_009428.1         3187846         3187866
NC_009428.1         374482         374502
NC_009428.1         1559919         1559939
NC_009428.1         403538         403557
NC_009428.1         266645         266668
NC_009665.1         2029725         2029703
NC_009665.1         3234621         3234647
NC_009665.1         2413608         2413634
NC_009665.1         1546788         1546809
NC_009665.1         2571902         2571877
NC_009665.1         2571902         2571877
NC_009665.1         4462864         4462889
NC_009665.1         3682357         3682336
NC_009665.1         3216958         3216938
NC_009665.1         438708         438688
NC_010084.1         928389         928369
NC_010084.1         2714636         2714612
NC_010084.1         2123243         2123262
NC_010084.1         458968         458988
NC_010084.1         322100         322080
NC_010084.1         2111231         2111251
NC_010084.1         2291954         2291934
NC_010084.1         484375         484394
NC_010084.1         2813329         2813297
NC_010084.1         2684625         2684645
NC_010322.1         1684700         1684675
NC_010322.1         5606715         5606736
NC_010322.1         915635         915655
NC_010322.1         2650409         2650429
NC_010322.1         3690721         3690701
NC_010322.1         550151         550175
NC_010322.1         1940155         1940135
NC_010322.1         5043971         5043951
NC_010322.1         1616299         1616279
NC_010322.1         4419532         4419504
NC_010512.1         140566         140589
NC_010512.1         664856         664837
NC_010512.1         736335         736316
NC_010515.1         257847         257867
NC_010515.1         256406         256425
NC_010515.1         2857327         2857346
NC_010515.1         256406         256425
NC_010515.1         892299         892322
NC_010515.1         1598231         1598250
NC_010515.1         1785807         1785826
NC_010515.1         1785807         1785826
NC_010515.1         285012         285039
NC_010515.1         1312413         1312390
NC_011145.1         853766         853788
NC_011145.1         3281669         3281648
NC_011145.1         2805083         2805103
NC_011145.1         4433452         4433432
NC_011145.1         4968081         4968101
NC_011145.1         2068093         2068117
NC_011145.1         2068093         2068117
NC_003047.1         2498515         2498548
NC_003047.1         3608582         3608562
NC_003047.1         1309298         1309318
NC_003047.1         3424266         3424285
NC_003047.1         3050740         3050721
NC_003047.1         2720698         2720717
NC_003047.1         1460659         1460678
NC_003047.1         51949         51972
NC_003047.1         786958         786939
NC_003047.1         1904314         1904295
NC_009656.1         1633220         1633241
NC_009656.1         5655204         5655184
NC_009656.1         5818030         5818009
NC_009656.1         3604360         3604336
NC_009656.1         1354344         1354323
NC_009656.1         1354344         1354323
NC_009656.1         1521243         1521264
NC_009656.1         3933741         3933762
NC_009656.1         3638495         3638515
NC_009656.1         3638495         3638515
