Accession numbers         Start                  End
NC_003198.1                 4409574                 4543073
NC_003198.1                 4695455                 4696069
NC_003198.1                 4696220                 4696485
NC_003198.1                 2897238                 2897434
NC_003198.1                 4696080                 4696129
NC_003198.1                 335579                 335602
NC_003198.1                 1506743                 1506764
NC_003198.1                 1923637                 1923657
NC_003198.1                 168275                 168295
NC_003198.1                 1128931                 1128951
NC_003198.1                 279099                 279119
NC_003198.1                 915628                 944619
NC_003198.1                 1008698                 1053060
NC_003198.1                 1538899                 1572919
NC_003198.1                 1889471                 1921297
NC_003198.1                 1909350                 1940164
NC_003198.1                 3504242                 3555052
NC_003198.1                 3526926                 3548975
NC_003198.1                 4463254                 4496010
NC_003198.1                 4462428                 4509535
NC_003198.1                 4683670                 4695074
