Accession numbers      Start        End         Length       Prediction method
NC_002947.3         170001         182000         11999         SigHunt
NC_002947.3         194001         220000         25999         SigHunt
NC_002947.3         524001         531000         6999         SigHunt
NC_002947.3         697001         703000         5999         SigHunt
NC_002947.3         746001         753000         6999         SigHunt
NC_002947.3         926001         945000         18999         SigHunt
NC_002947.3         1274001         1283000         8999         SigHunt
NC_002947.3         1325001         1331000         5999         SigHunt
NC_002947.3         2000001         2009000         8999         SigHunt
NC_002947.3         2163001         2169000         5999         SigHunt
NC_002947.3         2181001         2192000         10999         SigHunt
NC_002947.3         2193001         2200000         6999         SigHunt
NC_002947.3         2213001         2228000         14999         SigHunt
NC_002947.3         2296001         2301000         4999         SigHunt
NC_002947.3         2548001         2554000         5999         SigHunt
NC_002947.3         3515001         3523000         7999         SigHunt
NC_002947.3         4173001         4184000         10999         SigHunt
NC_002947.3         4222001         4233000         10999         SigHunt
NC_002947.3         4370001         4377000         6999         SigHunt
NC_002947.3         4495001         4502000         6999         SigHunt
NC_002947.3         4616001         4625000         8999         SigHunt
NC_002947.3         4626001         4633000         6999         SigHunt
NC_002947.3         4666001         4671000         4999         SigHunt
NC_002947.3         4811001         4818000         6999         SigHunt
NC_002947.3         4937001         4946000         8999         SigHunt
NC_002947.3         5000001         5010000         9999         SigHunt
NC_002947.3         5039001         5054000         14999         SigHunt
NC_002947.3         5063001         5073000         9999         SigHunt
NC_002947.3         5307001         5314000         6999         SigHunt
NC_002947.3         5396001         5402000         5999         SigHunt
NC_003047.1         79001         90000         10999         SigHunt
NC_003047.1         500001         507000         6999         SigHunt
NC_003047.1         541001         548000         6999         SigHunt
NC_003047.1         588001         593000         4999         SigHunt
NC_003047.1         658001         664000         5999         SigHunt
NC_003047.1         1085001         1091000         5999         SigHunt
NC_003047.1         1197001         1203000         5999         SigHunt
NC_003047.1         1372001         1377000         4999         SigHunt
NC_003047.1         1386001         1396000         9999         SigHunt
NC_003047.1         1465001         1472000         6999         SigHunt
NC_003047.1         1474001         1487000         12999         SigHunt
NC_003047.1         1966001         1972000         5999         SigHunt
NC_003047.1         2482001         2488000         5999         SigHunt
NC_003047.1         2707001         2713000         5999         SigHunt
NC_003047.1         2778001         2784000         5999         SigHunt
NC_003047.1         2803001         2814000         10999         SigHunt
NC_003047.1         3143001         3150000         6999         SigHunt
NC_003047.1         3206001         3217000         10999         SigHunt
NC_003047.1         3249001         3254000         4999         SigHunt
NC_003047.1         3273001         3278000         4999         SigHunt
NC_003047.1         3314001         3319000         4999         SigHunt
NC_003047.1         3364001         3376000         11999         SigHunt
NC_003047.1         3382001         3393000         10999         SigHunt
NC_003047.1         3398001         3409000         10999         SigHunt
NC_003047.1         3427001         3439000         11999         SigHunt
NC_004603.1         33001         39000         5999         SigHunt
NC_004603.1         235001         246000         10999         SigHunt
NC_004603.1         267001         280000         12999         SigHunt
NC_004603.1         581001         588000         6999         SigHunt
NC_004603.1         772001         777000         4999         SigHunt
NC_004603.1         1477001         1484000         6999         SigHunt
NC_004603.1         1523001         1528000         4999         SigHunt
NC_004603.1         1670001         1677000         6999         SigHunt
NC_004603.1         1728001         1737000         8999         SigHunt
NC_004603.1         1741001         1748000         6999         SigHunt
NC_004603.1         1905001         1910000         4999         SigHunt
NC_004603.1         1918001         1929000         10999         SigHunt
NC_004603.1         1930001         1940000         9999         SigHunt
NC_004603.1         2240001         2247000         6999         SigHunt
NC_004603.1         2299001         2306000         6999         SigHunt
NC_004603.1         2458001         2463000         4999         SigHunt
NC_004603.1         2577001         2583000         5999         SigHunt
NC_004603.1         2654001         2661000         6999         SigHunt
NC_004603.1         2776001         2781000         4999         SigHunt
NC_004603.1         2880001         2887000         6999         SigHunt
NC_004603.1         3062001         3073000         10999         SigHunt
NC_004603.1         3088001         3101000         12999         SigHunt
NC_004603.1         3108001         3117000         8999         SigHunt
NC_004603.1         3128001         3133000         4999         SigHunt
NC_004603.1         3193001         3198000         4999         SigHunt
NC_004603.1         3233001         3240000         6999         SigHunt
NC_005773.3         701001         708000         6999         SigHunt
NC_005773.3         720001         727000         6999         SigHunt
NC_005773.3         802001         810000         7999         SigHunt
NC_005773.3         875001         885000         9999         SigHunt
NC_005773.3         901001         915000         13999         SigHunt
NC_005773.3         961001         978000         16999         SigHunt
NC_005773.3         1047001         1055000         7999         SigHunt
NC_005773.3         1152001         1163000         10999         SigHunt
NC_005773.3         1689001         1699000         9999         SigHunt
NC_005773.3         1775001         1784000         8999         SigHunt
NC_005773.3         1850001         1865000         14999         SigHunt
NC_005773.3         2193001         2202000         8999         SigHunt
NC_005773.3         2647001         2654000         6999         SigHunt
NC_005773.3         3226001         3233000         6999         SigHunt
NC_005773.3         3263001         3269000         5999         SigHunt
NC_005773.3         3617001         3623000         5999         SigHunt
NC_005773.3         3630001         3638000         7999         SigHunt
NC_005773.3         4293001         4302000         8999         SigHunt
