Accession numbers       Start                  End
NC_003198.1                 915628                 944619
NC_003198.1                 1008698                 1053060
NC_003198.1                 1538899                 1572919
NC_003198.1                 1889471                 1921297
NC_003198.1                 1909350                 1940164
NC_003198.1                 3504242                 3555052
NC_003198.1                 3526926                 3548975
NC_003198.1                 4463254                 4496010
NC_003198.1                 4462428                 4509535
NC_003198.1                 4683670                 4695074
